epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6566,1.74673,3.65069,1.79739,0.88942,0.09639,0.12951,0.05541,1.8173,4.09723,2.01104,0.000412582,0.000412582,0.000412582
2,183.232,1.84074,3.34108,1.77535,0.10022,0.22848,0.09852,0.03798,2.01889,4.20601,2.18139,0.000801883,0.000801883,0.000801883
3,273.954,1.93847,3.25162,1.90998,0.08727,0.20049,0.0771,0.0283,2.11789,4.48421,2.38228,0.00116368,0.00116368,0.00116368
4,363.181,1.91155,3.27878,1.93617,0.09118,0.23374,0.09643,0.03507,2.24016,4.84363,2.54549,0.00112625,0.00112625,0.00112625
5,453.548,1.92798,3.02607,1.9116,0.21138,0.17061,0.11764,0.04812,2.31996,4.3415,2.51292,0.001085,0.001085,0.001085
6,540.588,1.90992,2.94825,1.95239,0.23617,0.27827,0.16575,0.07561,1.91759,3.45914,2.17034,0.00104375,0.00104375,0.00104375
7,629.146,1.86446,2.87545,1.89802,0.24827,0.20901,0.18103,0.06906,2.07384,3.23345,2.29007,0.0010025,0.0010025,0.0010025
8,717.464,1.84744,2.77574,1.81179,0.55405,0.19041,0.18161,0.0748,1.97318,3.26505,2.11704,0.00096125,0.00096125,0.00096125
9,804.966,1.81278,2.65286,1.80076,0.4943,0.27594,0.24366,0.10879,1.87206,3.43337,2.06856,0.00092,0.00092,0.00092
10,892.893,1.8137,2.66852,1.85156,0.40218,0.24877,0.24771,0.1139,1.76087,2.81471,2.02295,0.00087875,0.00087875,0.00087875
11,983.906,1.73808,2.62565,1.77523,0.28998,0.27545,0.24677,0.10993,1.89669,2.89541,2.12749,0.0008375,0.0008375,0.0008375
12,1076.4,1.76873,2.52044,1.7576,0.62901,0.24685,0.28738,0.11705,1.78362,2.64352,1.97193,0.00079625,0.00079625,0.00079625
13,1168.85,1.65447,2.34005,1.68986,0.58978,0.3227,0.35208,0.16967,1.70949,2.40693,1.93522,0.000755,0.000755,0.000755
14,1260.93,1.64751,2.37439,1.71734,0.58529,0.26034,0.37449,0.20212,1.70563,2.34974,1.89957,0.00071375,0.00071375,0.00071375
15,1346.42,1.66407,2.28342,1.70094,0.35011,0.31775,0.33246,0.17339,1.6653,2.38625,1.90898,0.0006725,0.0006725,0.0006725
16,1429.12,1.63148,2.17241,1.70045,0.37388,0.36114,0.32804,0.17633,1.65054,2.26239,1.86122,0.00063125,0.00063125,0.00063125
17,1511.15,1.61462,2.20404,1.66389,0.59764,0.30062,0.36449,0.17455,1.76416,2.35623,2.00294,0.00059,0.00059,0.00059
18,1593.48,1.596,2.15652,1.67212,0.53494,0.30112,0.36062,0.18235,1.6721,2.40602,1.94641,0.00054875,0.00054875,0.00054875
19,1676.22,1.57113,2.14157,1.64208,0.52687,0.39761,0.41193,0.21454,1.57323,2.13052,1.83875,0.0005075,0.0005075,0.0005075
20,1758.85,1.53427,2.05997,1.64068,0.66424,0.34807,0.41483,0.22353,1.53928,2.02924,1.77124,0.00046625,0.00046625,0.00046625
21,1840.37,1.48736,2.07245,1.67472,0.57592,0.41173,0.40774,0.21631,1.51769,2.11123,1.75509,0.000425,0.000425,0.000425
22,1922.85,1.44329,1.98736,1.62935,0.57216,0.39416,0.41593,0.23159,1.50162,2.054,1.75558,0.00038375,0.00038375,0.00038375
23,2004.38,1.38883,1.83689,1.56005,0.70219,0.37555,0.42956,0.25415,1.48533,1.9862,1.7446,0.0003425,0.0003425,0.0003425
24,2085.95,1.37082,1.8188,1.56403,0.49229,0.33025,0.39712,0.23313,1.48242,2.12007,1.74742,0.00030125,0.00030125,0.00030125
25,2167.42,1.34085,1.74064,1.5363,0.41949,0.36452,0.41607,0.24292,1.5412,2.61038,1.80182,0.00026,0.00026,0.00026
26,2248.65,1.34734,1.72378,1.55002,0.4688,0.37524,0.4389,0.25734,1.48899,2.13627,1.74527,0.00021875,0.00021875,0.00021875
27,2330.55,1.30549,1.65182,1.50543,0.5182,0.44719,0.44855,0.27002,1.45399,1.9566,1.71198,0.0001775,0.0001775,0.0001775
28,2411.77,1.27428,1.58378,1.47918,0.63673,0.37131,0.4473,0.26979,1.45042,1.93265,1.70932,0.00013625,0.00013625,0.00013625
29,2493.33,1.26467,1.57707,1.49625,0.52743,0.3901,0.45485,0.26756,1.4577,2.02183,1.70918,9.5e-05,9.5e-05,9.5e-05
30,2574.36,1.27148,1.59417,1.50382,0.58248,0.38844,0.46597,0.27778,1.44426,2.04527,1.70606,5.375e-05,5.375e-05,5.375e-05
